Date,Price,Open,High,Low,Vol.,Change %
"Oct 22, 2008",1615.75,1671.23,1678.71,1587.22,1.01B,-4.77%
"Oct 21, 2008",1696.68,1741.84,1768.54,1695.12,804.20M,-4.14%
"Oct 20, 2008",1770.03,1735.13,1770.05,1698.01,758.99M,3.43%
"Oct 17, 2008",1711.29,1678.78,1782.58,1670.28,1.12B,-0.37%
"Oct 16, 2008",1717.71,1644.55,1717.72,1565.72,1.31B,5.49%
"Oct 15, 2008",1628.33,1754.62,1761.23,1628.33,1.01B,-8.47%
"Oct 14, 2008",1779.01,1894.87,1896.95,1752.89,1.16B,-3.54%
"Oct 13, 2008",1844.25,1734.6,1844.25,1715.74,1.73B,11.81%
"Oct 10, 2008",1649.51,1590.77,1690.77,1542.45,1.73B,0.27%
"Oct 09, 2008",1645.12,1766.25,1787.41,1634.88,1.17B,-5.47%
"Oct 08, 2008",1740.33,1710.96,1806.89,1706.86,1.44B,-0.83%
"Oct 07, 2008",1754.88,1867.97,1886.35,1754.88,1.11B,-5.80%
"Oct 06, 2008",1862.96,1898.63,1905.01,1777.02,1.34B,-4.34%
"Oct 03, 2008",1947.39,2005.92,2046.81,1947.19,931.53M,-1.48%
"Oct 02, 2008",1976.72,2052.51,2056.43,1975,797.62M,-4.48%
"Oct 01, 2008",2069.4,2075.1,2083.2,2046.06,711.91M,-1.07%
"Sep 30, 2008",2091.88,2033.69,2094.31,2015.93,875.74M,5.45%
"Sep 29, 2008",1983.73,2147.16,2152.69,1983.73,1.01B,-9.14%
"Sep 26, 2008",2183.34,2144.06,2187.53,2136.85,732.82M,-0.15%
"Sep 25, 2008",2186.57,2172.26,2210.74,2167.06,675.97M,1.43%
"Sep 24, 2008",2155.68,2167.55,2179.93,2147.36,662.75M,0.11%
"Sep 23, 2008",2153.33,2190.71,2209.62,2151.77,740.52M,-1.18%
"Sep 22, 2008",2178.98,2265.77,2266.45,2178.98,718.07M,-4.17%
"Sep 19, 2008",2273.9,2303.9,2318.43,2239.73,1.92B,3.40%
"Sep 18, 2008",2199.1,2137.42,2201.71,2070.22,1.49B,4.78%
"Sep 17, 2008",2098.85,2177.58,2183.25,2098.85,1.16B,-4.94%
"Sep 16, 2008",2207.9,2149.65,2214.29,2145.17,1.21B,1.28%
"Sep 15, 2008",2179.91,2202.28,2244.88,2179.91,970.01M,-3.60%
"Sep 12, 2008",2261.27,2239.25,2268.83,2228,749.82M,0.14%
"Sep 11, 2008",2258.22,2199.03,2259.25,2191.53,852.18M,1.32%
"Sep 10, 2008",2228.7,2232.21,2247.63,2209.59,838.81M,0.85%
"Sep 09, 2008",2209.81,2269.93,2285.54,2209.81,967.75M,-2.64%
"Sep 08, 2008",2269.76,2296.18,2303.89,2236.97,950.51M,0.62%
"Sep 05, 2008",2255.88,2241.62,2264.35,2216.99,818.13M,-0.14%
"Sep 04, 2008",2259.04,2315.18,2317.32,2259.04,872.44M,-3.20%
